OXYMAX CSV DATA FILE 

CSV FILE CREATION:1/2/2014 10:08:23 PM
EXPERIMENT START:9/5/2013 12:13:58 PM
DATA FILENAME:C:\Users\Katherine\Documents\CLAMS\CLAMS runs\Tibor\2013-09-05-Exp 27 Ob prelim #2.CDTA

GROUP/CAGE:0101
O2 CAL Date:
CO2 CAL Date:
SUBJECT ID:ob pctp wt HL M1077
SUBJECT MASS:58.3 G
wt 352:

REFERENCE SETTLE TIME:85 seconds
REFERENCE MEASURE TIME:5 seconds
CAGE SETTLE TIME:85 seconds
CAGE MEASURE TIME:5 seconds
REFERENCE METHOD:EVRYN N=6
HEAT CALCULATION METHOD:STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,9/5/2013 12:17:13 PM ,1145,20.47,20.25,0.22,0.0,967,0.056,0.247,0.191,0.0,0.844,0.3,0.49,STABLE,0.00,0.00,0,0,36.1,
2,0101,9/5/2013 12:27:43 PM ,1145,20.47,20.25,0.22,0.0,997,0.056,0.254,0.198,0.0,0.871,0.3,0.49,STABLE,0.00,0.00,212,20,35.9,
3,0101,9/5/2013 12:38:13 PM ,1216,20.47,20.23,0.23,0.0,1000,0.056,0.255,0.199,0.0,0.822,0.3,0.49,STABLE,0.00,0.00,46,1,36.1,
4,0101,9/5/2013 12:48:43 PM ,1069,20.46,20.25,0.20,0.0,854,0.055,0.225,0.169,0.0,0.799,0.3,0.49,STABLE,0.00,0.00,45,4,36.2,
5,0101,9/5/2013 12:59:13 PM ,993,20.45,20.26,0.19,0.0,809,0.055,0.216,0.161,0.0,0.814,0.3,0.49,STABLE,0.00,0.00,22,1,36.2,
6,0101,9/5/2013 1:09:43 PM ,986,20.43,20.24,0.19,0.1,802,0.055,0.214,0.159,0.0,0.814,0.3,0.49,STABLE,0.00,0.00,127,8,36.1,
7,0101,9/5/2013 1:20:13 PM ,981,20.41,20.22,0.19,0.1,792,0.054,0.211,0.157,0.1,0.807,0.3,0.49,STABLE,0.00,0.00,13,2,36.1,
8,0101,9/5/2013 1:30:43 PM ,949,20.40,20.21,0.18,0.1,769,0.054,0.209,0.154,0.1,0.810,0.3,0.48,STABLE,0.00,0.00,3,2,36.1,
9,0101,9/5/2013 1:41:13 PM ,936,20.38,20.20,0.18,0.1,767,0.054,0.208,0.154,0.1,0.819,0.3,0.48,STABLE,0.00,0.00,15,0,36.1,
10,0101,9/5/2013 1:51:43 PM ,935,20.37,20.19,0.18,0.1,769,0.054,0.207,0.153,0.1,0.822,0.3,0.49,STABLE,0.00,0.00,109,2,36.2,
11,0101,9/5/2013 2:02:13 PM ,937,20.36,20.18,0.18,0.1,761,0.054,0.204,0.151,0.1,0.812,0.3,0.49,STABLE,0.00,0.00,10,3,36.1,
12,0101,9/5/2013 2:12:43 PM ,955,20.35,20.17,0.18,0.1,819,0.053,0.216,0.162,0.1,0.858,0.3,0.49,STABLE,0.00,0.00,43,10,36.2,
13,0101,9/5/2013 2:23:13 PM ,936,20.34,20.16,0.18,0.1,769,0.053,0.205,0.152,0.1,0.822,0.3,0.49,STABLE,0.00,0.00,7,1,36.2,
14,0101,9/5/2013 2:33:43 PM ,889,20.33,20.16,0.17,0.1,745,0.053,0.200,0.147,0.1,0.838,0.3,0.49,STABLE,0.00,0.00,0,0,36.2,
15,0101,9/5/2013 2:44:13 PM ,928,20.33,20.15,0.18,0.1,796,0.053,0.210,0.157,0.1,0.858,0.3,0.49,STABLE,0.00,0.00,147,24,36.2,
16,0101,9/5/2013 2:54:43 PM ,1363,20.33,20.06,0.27,0.2,1249,0.053,0.300,0.247,0.1,0.916,0.4,0.49,STABLE,0.00,0.00,160,30,36.4,
17,0101,9/5/2013 3:05:13 PM ,1300,20.32,20.07,0.25,0.2,1148,0.053,0.280,0.227,0.1,0.883,0.4,0.49,DYNAMIC,-15.88,-15.88,242,34,36.7,
18,0101,9/5/2013 3:15:43 PM ,1094,20.32,20.11,0.21,0.2,892,0.052,0.229,0.176,0.2,0.815,0.3,0.49,STABLE,15.88,0.00,148,31,36.4,
19,0101,9/5/2013 3:26:13 PM ,1054,20.32,20.11,0.20,0.2,867,0.052,0.224,0.171,0.2,0.823,0.3,0.49,STABLE,-0.29,-0.29,149,10,36.7,
