INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP
1,101,9/5/2013 12:17,1145,20.47,20.25,0.22,0,967,0.056,0.247,0.191,0,0.844,0.3,0.49,STABLE,0,0,0,0,36.1
2,101,9/5/2013 12:27,1145,20.47,20.25,0.22,0,997,0.056,0.254,0.198,0,0.871,0.3,0.49,STABLE,0,0,212,20,35.9
3,101,9/5/2013 12:38,1216,20.47,20.23,0.23,0,1000,0.056,0.255,0.199,0,0.822,0.3,0.49,STABLE,0,0,46,1,36.1
4,101,9/5/2013 12:48,1069,20.46,20.25,0.2,0,854,0.055,0.225,0.169,0,0.799,0.3,0.49,STABLE,0,0,45,4,36.2
5,101,9/5/2013 12:59,993,20.45,20.26,0.19,0,809,0.055,0.216,0.161,0,0.814,0.3,0.49,STABLE,0,0,22,1,36.2
6,101,9/5/2013 13:09,986,20.43,20.24,0.19,0.1,802,0.055,0.214,0.159,0,0.814,0.3,0.49,STABLE,0,0,127,8,36.1
7,101,9/5/2013 13:20,981,20.41,20.22,0.19,0.1,792,0.054,0.211,0.157,0.1,0.807,0.3,0.49,STABLE,0,0,13,2,36.1
8,101,9/5/2013 13:30,949,20.4,20.21,0.18,0.1,769,0.054,0.209,0.154,0.1,0.81,0.3,0.48,STABLE,0,0,3,2,36.1
9,101,9/5/2013 13:41,936,20.38,20.2,0.18,0.1,767,0.054,0.208,0.154,0.1,0.819,0.3,0.48,STABLE,0,0,15,0,36.1
10,101,9/5/2013 13:51,935,20.37,20.19,0.18,0.1,769,0.054,0.207,0.153,0.1,0.822,0.3,0.49,STABLE,0,0,109,2,36.2
11,101,9/5/2013 14:02,937,20.36,20.18,0.18,0.1,761,0.054,0.204,0.151,0.1,0.812,0.3,0.49,STABLE,0,0,10,3,36.1
12,101,9/5/2013 14:12,955,20.35,20.17,0.18,0.1,819,0.053,0.216,0.162,0.1,0.858,0.3,0.49,STABLE,0,0,43,10,36.2
13,101,9/5/2013 14:23,936,20.34,20.16,0.18,0.1,769,0.053,0.205,0.152,0.1,0.822,0.3,0.49,STABLE,0,0,7,1,36.2
14,101,9/5/2013 14:33,889,20.33,20.16,0.17,0.1,745,0.053,0.2,0.147,0.1,0.838,0.3,0.49,STABLE,0,0,0,0,36.2
15,101,9/5/2013 14:44,928,20.33,20.15,0.18,0.1,796,0.053,0.21,0.157,0.1,0.858,0.3,0.49,STABLE,0,0,147,24,36.2
16,101,9/5/2013 14:54,1363,20.33,20.06,0.27,0.2,1249,0.053,0.3,0.247,0.1,0.916,0.4,0.49,STABLE,0,0,160,30,36.4
17,101,9/5/2013 15:05,1300,20.32,20.07,0.25,0.2,1148,0.053,0.28,0.227,0.1,0.883,0.4,0.49,DYNAMIC,-15.88,-15.88,242,34,36.7
18,101,9/5/2013 15:15,1094,20.32,20.11,0.21,0.2,892,0.052,0.229,0.176,0.2,0.815,0.3,0.49,STABLE,15.88,0,148,31,36.4
19,101,9/5/2013 15:26,1054,20.32,20.11,0.2,0.2,867,0.052,0.224,0.171,0.2,0.823,0.3,0.49,STABLE,-0.29,-0.29,149,10,36.7
20,101,9/5/2013 15:36,950,20.31,20.13,0.18,0.2,759,0.052,0.202,0.15,0.2,0.799,0.3,0.49,STABLE,-1.31,-1.6,65,5,36.5
21,101,9/5/2013 15:47,916,20.31,20.14,0.17,0.2,725,0.052,0.195,0.143,0.2,0.792,0.3,0.49,STABLE,0.6,-1,32,5,36.3
22,101,9/5/2013 15:57,891,20.3,20.13,0.17,0.2,727,0.051,0.195,0.144,0.2,0.816,0.3,0.49,DYNAMIC,0.63,-0.37,34,2,36.2
